location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,-1,0.01,44.537219802869984,2024-02-17,2024-02-17,quantile,wk inc flu hosp
02,-1,0.01,1.6842779005070871,2024-02-17,2024-02-17,quantile,wk inc flu hosp
04,-1,0.01,44.31692634289881,2024-02-17,2024-02-17,quantile,wk inc flu hosp
05,-1,0.01,159.14067192171984,2024-02-17,2024-02-17,quantile,wk inc flu hosp
06,-1,0.01,135.04756458555323,2024-02-17,2024-02-17,quantile,wk inc flu hosp
08,-1,0.01,108.51240514775124,2024-02-17,2024-02-17,quantile,wk inc flu hosp
09,-1,0.01,70.13654369478364,2024-02-17,2024-02-17,quantile,wk inc flu hosp
10,-1,0.01,5.087616718983087,2024-02-17,2024-02-17,quantile,wk inc flu hosp
11,-1,0.01,2.4878193899648355,2024-02-17,2024-02-17,quantile,wk inc flu hosp
12,-1,0.01,518.9579195759331,2024-02-17,2024-02-17,quantile,wk inc flu hosp
13,-1,0.01,143.11575333076266,2024-02-17,2024-02-17,quantile,wk inc flu hosp
15,-1,0.01,2.395538791068269,2024-02-17,2024-02-17,quantile,wk inc flu hosp
16,-1,0.01,20.041263122017625,2024-02-17,2024-02-17,quantile,wk inc flu hosp
17,-1,0.01,114.47454103450812,2024-02-17,2024-02-17,quantile,wk inc flu hosp
18,-1,0.01,250.65063268286855,2024-02-17,2024-02-17,quantile,wk inc flu hosp
19,-1,0.01,58.56885438141994,2024-02-17,2024-02-17,quantile,wk inc flu hosp
20,-1,0.01,106.47655238912118,2024-02-17,2024-02-17,quantile,wk inc flu hosp
21,-1,0.01,145.05633772344453,2024-02-17,2024-02-17,quantile,wk inc flu hosp
22,-1,0.01,18.823265563162508,2024-02-17,2024-02-17,quantile,wk inc flu hosp
23,-1,0.01,38.15748790420731,2024-02-17,2024-02-17,quantile,wk inc flu hosp
24,-1,0.01,45.477561116442814,2024-02-17,2024-02-17,quantile,wk inc flu hosp
25,-1,0.01,250.84405410964544,2024-02-17,2024-02-17,quantile,wk inc flu hosp
26,-1,0.01,397.4419956016712,2024-02-17,2024-02-17,quantile,wk inc flu hosp
27,-1,0.01,95.23288953127916,2024-02-17,2024-02-17,quantile,wk inc flu hosp
28,-1,0.01,26.171352296368614,2024-02-17,2024-02-17,quantile,wk inc flu hosp
29,-1,0.01,173.64713067668484,2024-02-17,2024-02-17,quantile,wk inc flu hosp
30,-1,0.01,35.075954802932145,2024-02-17,2024-02-17,quantile,wk inc flu hosp
31,-1,0.01,24.22967401519224,2024-02-17,2024-02-17,quantile,wk inc flu hosp
32,-1,0.01,6.396531730689725,2024-02-17,2024-02-17,quantile,wk inc flu hosp
33,-1,0.01,19.3822430236617,2024-02-17,2024-02-17,quantile,wk inc flu hosp
34,-1,0.01,154.63089136959528,2024-02-17,2024-02-17,quantile,wk inc flu hosp
35,-1,0.01,29.292180279287845,2024-02-17,2024-02-17,quantile,wk inc flu hosp
36,-1,0.01,472.96075970014556,2024-02-17,2024-02-17,quantile,wk inc flu hosp
37,-1,0.01,59.5027157863663,2024-02-17,2024-02-17,quantile,wk inc flu hosp
38,-1,0.01,7.331454425274267,2024-02-17,2024-02-17,quantile,wk inc flu hosp
39,-1,0.01,371.9532773027886,2024-02-17,2024-02-17,quantile,wk inc flu hosp
40,-1,0.01,282.82000749441374,2024-02-17,2024-02-17,quantile,wk inc flu hosp
41,-1,0.01,40.026290072876854,2024-02-17,2024-02-17,quantile,wk inc flu hosp
42,-1,0.01,218.92301557883457,2024-02-17,2024-02-17,quantile,wk inc flu hosp
44,-1,0.01,4.073697287386906,2024-02-17,2024-02-17,quantile,wk inc flu hosp
45,-1,0.01,53.21065183202549,2024-02-17,2024-02-17,quantile,wk inc flu hosp
46,-1,0.01,3.954909278266412,2024-02-17,2024-02-17,quantile,wk inc flu hosp
47,-1,0.01,67.49179601165454,2024-02-17,2024-02-17,quantile,wk inc flu hosp
48,-1,0.01,735.2990256929002,2024-02-17,2024-02-17,quantile,wk inc flu hosp
49,-1,0.01,0.9480482745885812,2024-02-17,2024-02-17,quantile,wk inc flu hosp
50,-1,0.01,6.267258677026776,2024-02-17,2024-02-17,quantile,wk inc flu hosp
51,-1,0.01,75.46330912029084,2024-02-17,2024-02-17,quantile,wk inc flu hosp
53,-1,0.01,22.893569603631384,2024-02-17,2024-02-17,quantile,wk inc flu hosp
54,-1,0.01,50.593103650868414,2024-02-17,2024-02-17,quantile,wk inc flu hosp
55,-1,0.01,95.57965952971715,2024-02-17,2024-02-17,quantile,wk inc flu hosp
56,-1,0.01,7.538529125772537,2024-02-17,2024-02-17,quantile,wk inc flu hosp
72,-1,0.01,36.78762058937121,2024-02-17,2024-02-17,quantile,wk inc flu hosp
US,-1,0.01,6960.4930370335105,2024-02-17,2024-02-17,quantile,wk inc flu hosp
01,-1,0.025,49.077706113812,2024-02-17,2024-02-17,quantile,wk inc flu hosp
02,-1,0.025,2.123240775847152,2024-02-17,2024-02-17,quantile,wk inc flu hosp
04,-1,0.025,55.11041209233339,2024-02-17,2024-02-17,quantile,wk inc flu hosp
05,-1,0.025,167.48072025627613,2024-02-17,2024-02-17,quantile,wk inc flu hosp
06,-1,0.025,148.30207971909874,2024-02-17,2024-02-17,quantile,wk inc flu hosp
08,-1,0.025,115.37219315010762,2024-02-17,2024-02-17,quantile,wk inc flu hosp
09,-1,0.025,77.32915309280938,2024-02-17,2024-02-17,quantile,wk inc flu hosp
10,-1,0.025,6.917262255140638,2024-02-17,2024-02-17,quantile,wk inc flu hosp
11,-1,0.025,3.644616515963692,2024-02-17,2024-02-17,quantile,wk inc flu hosp
12,-1,0.025,548.7369197048224,2024-02-17,2024-02-17,quantile,wk inc flu hosp
13,-1,0.025,157.3675767652323,2024-02-17,2024-02-17,quantile,wk inc flu hosp
15,-1,0.025,3.8709910340258857,2024-02-17,2024-02-17,quantile,wk inc flu hosp
16,-1,0.025,22.695769461154182,2024-02-17,2024-02-17,quantile,wk inc flu hosp
17,-1,0.025,133.3374608762887,2024-02-17,2024-02-17,quantile,wk inc flu hosp
18,-1,0.025,262.92146882506916,2024-02-17,2024-02-17,quantile,wk inc flu hosp
19,-1,0.025,63.61942267720663,2024-02-17,2024-02-17,quantile,wk inc flu hosp
20,-1,0.025,117.7653289887228,2024-02-17,2024-02-17,quantile,wk inc flu hosp
21,-1,0.025,166.60005275971372,2024-02-17,2024-02-17,quantile,wk inc flu hosp
22,-1,0.025,23.27969023851536,2024-02-17,2024-02-17,quantile,wk inc flu hosp
23,-1,0.025,43.40746185342895,2024-02-17,2024-02-17,quantile,wk inc flu hosp
24,-1,0.025,52.48712502805129,2024-02-17,2024-02-17,quantile,wk inc flu hosp
25,-1,0.025,269.71789038235335,2024-02-17,2024-02-17,quantile,wk inc flu hosp
26,-1,0.025,451.53168997913474,2024-02-17,2024-02-17,quantile,wk inc flu hosp
27,-1,0.025,103.98317201004639,2024-02-17,2024-02-17,quantile,wk inc flu hosp
28,-1,0.025,29.48989686567757,2024-02-17,2024-02-17,quantile,wk inc flu hosp
29,-1,0.025,200.98587648411336,2024-02-17,2024-02-17,quantile,wk inc flu hosp
30,-1,0.025,39.16047782335288,2024-02-17,2024-02-17,quantile,wk inc flu hosp
31,-1,0.025,29.518813390204404,2024-02-17,2024-02-17,quantile,wk inc flu hosp
32,-1,0.025,8.26525993065556,2024-02-17,2024-02-17,quantile,wk inc flu hosp
33,-1,0.025,22.648120769684372,2024-02-17,2024-02-17,quantile,wk inc flu hosp
34,-1,0.025,176.3550562882733,2024-02-17,2024-02-17,quantile,wk inc flu hosp
35,-1,0.025,34.73172058734719,2024-02-17,2024-02-17,quantile,wk inc flu hosp
36,-1,0.025,501.99402239847353,2024-02-17,2024-02-17,quantile,wk inc flu hosp
37,-1,0.025,70.64162889000148,2024-02-17,2024-02-17,quantile,wk inc flu hosp
38,-1,0.025,9.36279277062957,2024-02-17,2024-02-17,quantile,wk inc flu hosp
39,-1,0.025,388.3109112348874,2024-02-17,2024-02-17,quantile,wk inc flu hosp
40,-1,0.025,307.1092092830551,2024-02-17,2024-02-17,quantile,wk inc flu hosp
41,-1,0.025,46.29916435538791,2024-02-17,2024-02-17,quantile,wk inc flu hosp
42,-1,0.025,258.55270095021353,2024-02-17,2024-02-17,quantile,wk inc flu hosp
44,-1,0.025,5.727496311885233,2024-02-17,2024-02-17,quantile,wk inc flu hosp
45,-1,0.025,61.36908575409985,2024-02-17,2024-02-17,quantile,wk inc flu hosp
46,-1,0.025,5.005662585638495,2024-02-17,2024-02-17,quantile,wk inc flu hosp
47,-1,0.025,74.61992871753306,2024-02-17,2024-02-17,quantile,wk inc flu hosp
48,-1,0.025,758.4938608914265,2024-02-17,2024-02-17,quantile,wk inc flu hosp
49,-1,0.025,2.0009847818311126,2024-02-17,2024-02-17,quantile,wk inc flu hosp
50,-1,0.025,7.686244429219783,2024-02-17,2024-02-17,quantile,wk inc flu hosp
51,-1,0.025,85.5073112958937,2024-02-17,2024-02-17,quantile,wk inc flu hosp
53,-1,0.025,29.017319608008684,2024-02-17,2024-02-17,quantile,wk inc flu hosp
54,-1,0.025,61.72219754931669,2024-02-17,2024-02-17,quantile,wk inc flu hosp
55,-1,0.025,105.19469158996567,2024-02-17,2024-02-17,quantile,wk inc flu hosp
56,-1,0.025,10.100968498846646,2024-02-17,2024-02-17,quantile,wk inc flu hosp
72,-1,0.025,40.44732062646506,2024-02-17,2024-02-17,quantile,wk inc flu hosp
US,-1,0.025,7289.390790317302,2024-02-17,2024-02-17,quantile,wk inc flu hosp
01,-1,0.05,58.08308131212342,2024-02-17,2024-02-17,quantile,wk inc flu hosp
02,-1,0.05,3.2740020073935856,2024-02-17,2024-02-17,quantile,wk inc flu hosp
04,-1,0.05,61.48633467720909,2024-02-17,2024-02-17,quantile,wk inc flu hosp
05,-1,0.05,180.3779997079428,2024-02-17,2024-02-17,quantile,wk inc flu hosp
06,-1,0.05,165.92596721206073,2024-02-17,2024-02-17,quantile,wk inc flu hosp
08,-1,0.05,123.3629087751642,2024-02-17,2024-02-17,quantile,wk inc flu hosp
09,-1,0.05,83.1284053486672,2024-02-17,2024-02-17,quantile,wk inc flu hosp
10,-1,0.05,8.788287620705422,2024-02-17,2024-02-17,quantile,wk inc flu hosp
11,-1,0.05,4.67475594667189,2024-02-17,2024-02-17,quantile,wk inc flu hosp
12,-1,0.05,579.9645904517068,2024-02-17,2024-02-17,quantile,wk inc flu hosp
13,-1,0.05,167.72648959898225,2024-02-17,2024-02-17,quantile,wk inc flu hosp
15,-1,0.05,5.070577976289576,2024-02-17,2024-02-17,quantile,wk inc flu hosp
16,-1,0.05,27.713611585118546,2024-02-17,2024-02-17,quantile,wk inc flu hosp
17,-1,0.05,143.84177558743244,2024-02-17,2024-02-17,quantile,wk inc flu hosp
18,-1,0.05,283.06767873850674,2024-02-17,2024-02-17,quantile,wk inc flu hosp
19,-1,0.05,70.01356204254651,2024-02-17,2024-02-17,quantile,wk inc flu hosp
20,-1,0.05,125.12826221825618,2024-02-17,2024-02-17,quantile,wk inc flu hosp
21,-1,0.05,187.05725777346316,2024-02-17,2024-02-17,quantile,wk inc flu hosp
22,-1,0.05,27.44741385878443,2024-02-17,2024-02-17,quantile,wk inc flu hosp
23,-1,0.05,47.034137255421484,2024-02-17,2024-02-17,quantile,wk inc flu hosp
24,-1,0.05,57.077724896663355,2024-02-17,2024-02-17,quantile,wk inc flu hosp
25,-1,0.05,286.38581238980333,2024-02-17,2024-02-17,quantile,wk inc flu hosp
26,-1,0.05,475.1988293091506,2024-02-17,2024-02-17,quantile,wk inc flu hosp
27,-1,0.05,111.80848856443258,2024-02-17,2024-02-17,quantile,wk inc flu hosp
28,-1,0.05,33.74483927194432,2024-02-17,2024-02-17,quantile,wk inc flu hosp
29,-1,0.05,214.751987246362,2024-02-17,2024-02-17,quantile,wk inc flu hosp
30,-1,0.05,42.273356154849075,2024-02-17,2024-02-17,quantile,wk inc flu hosp
31,-1,0.05,32.346016520038944,2024-02-17,2024-02-17,quantile,wk inc flu hosp
32,-1,0.05,10.050408767330662,2024-02-17,2024-02-17,quantile,wk inc flu hosp
33,-1,0.05,26.420984199090018,2024-02-17,2024-02-17,quantile,wk inc flu hosp
34,-1,0.05,191.06060369731003,2024-02-17,2024-02-17,quantile,wk inc flu hosp
35,-1,0.05,38.21106581726038,2024-02-17,2024-02-17,quantile,wk inc flu hosp
36,-1,0.05,531.845871422241,2024-02-17,2024-02-17,quantile,wk inc flu hosp
37,-1,0.05,79.84101970891263,2024-02-17,2024-02-17,quantile,wk inc flu hosp
38,-1,0.05,11.480262229006737,2024-02-17,2024-02-17,quantile,wk inc flu hosp
39,-1,0.05,405.5452103528973,2024-02-17,2024-02-17,quantile,wk inc flu hosp
40,-1,0.05,328.891506814798,2024-02-17,2024-02-17,quantile,wk inc flu hosp
41,-1,0.05,50.18090256384789,2024-02-17,2024-02-17,quantile,wk inc flu hosp
42,-1,0.05,276.63089349576177,2024-02-17,2024-02-17,quantile,wk inc flu hosp
44,-1,0.05,7.330256896455869,2024-02-17,2024-02-17,quantile,wk inc flu hosp
45,-1,0.05,69.58459110912555,2024-02-17,2024-02-17,quantile,wk inc flu hosp
46,-1,0.05,6.793851606634061,2024-02-17,2024-02-17,quantile,wk inc flu hosp
47,-1,0.05,85.4005917949743,2024-02-17,2024-02-17,quantile,wk inc flu hosp
48,-1,0.05,798.280641315281,2024-02-17,2024-02-17,quantile,wk inc flu hosp
49,-1,0.05,3.200045442437005,2024-02-17,2024-02-17,quantile,wk inc flu hosp
50,-1,0.05,8.788407999832067,2024-02-17,2024-02-17,quantile,wk inc flu hosp
51,-1,0.05,94.66193848041313,2024-02-17,2024-02-17,quantile,wk inc flu hosp
53,-1,0.05,34.40783074420478,2024-02-17,2024-02-17,quantile,wk inc flu hosp
54,-1,0.05,68.33529911839291,2024-02-17,2024-02-17,quantile,wk inc flu hosp
55,-1,0.05,114.46419470157383,2024-02-17,2024-02-17,quantile,wk inc flu hosp
56,-1,0.05,12.573863880795473,2024-02-17,2024-02-17,quantile,wk inc flu hosp
72,-1,0.05,44.912166357714945,2024-02-17,2024-02-17,quantile,wk inc flu hosp
US,-1,0.05,7663.494434403295,2024-02-17,2024-02-17,quantile,wk inc flu hosp
01,-1,0.1,66.76010625148959,2024-02-17,2024-02-17,quantile,wk inc flu hosp
02,-1,0.1,4.588530253866309,2024-02-17,2024-02-17,quantile,wk inc flu hosp
04,-1,0.1,71.90471686027944,2024-02-17,2024-02-17,quantile,wk inc flu hosp
05,-1,0.1,197.3516503194509,2024-02-17,2024-02-17,quantile,wk inc flu hosp
06,-1,0.1,193.34338042800363,2024-02-17,2024-02-17,quantile,wk inc flu hosp
08,-1,0.1,131.43482080308277,2024-02-17,2024-02-17,quantile,wk inc flu hosp
09,-1,0.1,93.14189632895393,2024-02-17,2024-02-17,quantile,wk inc flu hosp
10,-1,0.1,10.733626836247879,2024-02-17,2024-02-17,quantile,wk inc flu hosp
11,-1,0.1,6.29015695563692,2024-02-17,2024-02-17,quantile,wk inc flu hosp
12,-1,0.1,610.7236480720503,2024-02-17,2024-02-17,quantile,wk inc flu hosp
13,-1,0.1,182.48381090802357,2024-02-17,2024-02-17,quantile,wk inc flu hosp
15,-1,0.1,6.959290437225932,2024-02-17,2024-02-17,quantile,wk inc flu hosp
16,-1,0.1,32.019401336949244,2024-02-17,2024-02-17,quantile,wk inc flu hosp
17,-1,0.1,158.54276500576702,2024-02-17,2024-02-17,quantile,wk inc flu hosp
18,-1,0.1,303.9013408671524,2024-02-17,2024-02-17,quantile,wk inc flu hosp
19,-1,0.1,76.45597341806513,2024-02-17,2024-02-17,quantile,wk inc flu hosp
20,-1,0.1,138.09059157629258,2024-02-17,2024-02-17,quantile,wk inc flu hosp
21,-1,0.1,208.13102284801775,2024-02-17,2024-02-17,quantile,wk inc flu hosp
22,-1,0.1,33.01152104354218,2024-02-17,2024-02-17,quantile,wk inc flu hosp
23,-1,0.1,53.868954985648685,2024-02-17,2024-02-17,quantile,wk inc flu hosp
24,-1,0.1,62.32567297405639,2024-02-17,2024-02-17,quantile,wk inc flu hosp
25,-1,0.1,305.3596266641682,2024-02-17,2024-02-17,quantile,wk inc flu hosp
26,-1,0.1,512.1552276091159,2024-02-17,2024-02-17,quantile,wk inc flu hosp
27,-1,0.1,119.40936342725686,2024-02-17,2024-02-17,quantile,wk inc flu hosp
28,-1,0.1,38.10843779509292,2024-02-17,2024-02-17,quantile,wk inc flu hosp
29,-1,0.1,233.95490200085192,2024-02-17,2024-02-17,quantile,wk inc flu hosp
30,-1,0.1,47.24388779362723,2024-02-17,2024-02-17,quantile,wk inc flu hosp
31,-1,0.1,36.154230357946304,2024-02-17,2024-02-17,quantile,wk inc flu hosp
32,-1,0.1,13.207239622126313,2024-02-17,2024-02-17,quantile,wk inc flu hosp
33,-1,0.1,30.086304330033915,2024-02-17,2024-02-17,quantile,wk inc flu hosp
34,-1,0.1,209.99045471520287,2024-02-17,2024-02-17,quantile,wk inc flu hosp
35,-1,0.1,43.79035539013081,2024-02-17,2024-02-17,quantile,wk inc flu hosp
36,-1,0.1,559.7271782553476,2024-02-17,2024-02-17,quantile,wk inc flu hosp
37,-1,0.1,91.77100981710205,2024-02-17,2024-02-17,quantile,wk inc flu hosp
38,-1,0.1,13.575152809790033,2024-02-17,2024-02-17,quantile,wk inc flu hosp
39,-1,0.1,438.6493400900364,2024-02-17,2024-02-17,quantile,wk inc flu hosp
40,-1,0.1,350.3047119878138,2024-02-17,2024-02-17,quantile,wk inc flu hosp
41,-1,0.1,56.00015014730785,2024-02-17,2024-02-17,quantile,wk inc flu hosp
42,-1,0.1,296.0780104717369,2024-02-17,2024-02-17,quantile,wk inc flu hosp
44,-1,0.1,9.430923647313772,2024-02-17,2024-02-17,quantile,wk inc flu hosp
45,-1,0.1,78.2800055397437,2024-02-17,2024-02-17,quantile,wk inc flu hosp
46,-1,0.1,8.698583160401077,2024-02-17,2024-02-17,quantile,wk inc flu hosp
47,-1,0.1,99.27055860269544,2024-02-17,2024-02-17,quantile,wk inc flu hosp
48,-1,0.1,862.1287774676698,2024-02-17,2024-02-17,quantile,wk inc flu hosp
49,-1,0.1,4.66747499057201,2024-02-17,2024-02-17,quantile,wk inc flu hosp
50,-1,0.1,10.56767468723046,2024-02-17,2024-02-17,quantile,wk inc flu hosp
51,-1,0.1,103.66869861680398,2024-02-17,2024-02-17,quantile,wk inc flu hosp
53,-1,0.1,40.49253477328506,2024-02-17,2024-02-17,quantile,wk inc flu hosp
54,-1,0.1,77.86106131502261,2024-02-17,2024-02-17,quantile,wk inc flu hosp
55,-1,0.1,124.75828518164278,2024-02-17,2024-02-17,quantile,wk inc flu hosp
56,-1,0.1,15.037360458245265,2024-02-17,2024-02-17,quantile,wk inc flu hosp
72,-1,0.1,50.91711563276653,2024-02-17,2024-02-17,quantile,wk inc flu hosp
US,-1,0.1,8100.905622270793,2024-02-17,2024-02-17,quantile,wk inc flu hosp
01,-1,0.15,72.62776269242075,2024-02-17,2024-02-17,quantile,wk inc flu hosp
02,-1,0.15,5.668200239551132,2024-02-17,2024-02-17,quantile,wk inc flu hosp
04,-1,0.15,80.51796760886153,2024-02-17,2024-02-17,quantile,wk inc flu hosp
05,-1,0.15,208.27529676696437,2024-02-17,2024-02-17,quantile,wk inc flu hosp
06,-1,0.15,213.88052794466628,2024-02-17,2024-02-17,quantile,wk inc flu hosp
08,-1,0.15,139.55717355103818,2024-02-17,2024-02-17,quantile,wk inc flu hosp
09,-1,0.15,98.82387981683613,2024-02-17,2024-02-17,quantile,wk inc flu hosp
10,-1,0.15,12.474071135505097,2024-02-17,2024-02-17,quantile,wk inc flu hosp
11,-1,0.15,7.216797265173861,2024-02-17,2024-02-17,quantile,wk inc flu hosp
12,-1,0.15,636.0424531126688,2024-02-17,2024-02-17,quantile,wk inc flu hosp
13,-1,0.15,191.6417932242594,2024-02-17,2024-02-17,quantile,wk inc flu hosp
15,-1,0.15,8.263251956879184,2024-02-17,2024-02-17,quantile,wk inc flu hosp
16,-1,0.15,35.33961500054003,2024-02-17,2024-02-17,quantile,wk inc flu hosp
17,-1,0.15,168.62519861248686,2024-02-17,2024-02-17,quantile,wk inc flu hosp
18,-1,0.15,315.0874987359088,2024-02-17,2024-02-17,quantile,wk inc flu hosp
19,-1,0.15,80.75706935359237,2024-02-17,2024-02-17,quantile,wk inc flu hosp
20,-1,0.15,146.39882235708197,2024-02-17,2024-02-17,quantile,wk inc flu hosp
21,-1,0.15,221.15562042114303,2024-02-17,2024-02-17,quantile,wk inc flu hosp
22,-1,0.15,36.6409143895408,2024-02-17,2024-02-17,quantile,wk inc flu hosp
23,-1,0.15,57.51456063019457,2024-02-17,2024-02-17,quantile,wk inc flu hosp
24,-1,0.15,68.33380057779574,2024-02-17,2024-02-17,quantile,wk inc flu hosp
