location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,-1,0.01,11.108417719482073,2023-11-11,2023-11-11,quantile,wk inc flu hosp
02,-1,0.01,11.629780847074025,2023-11-11,2023-11-11,quantile,wk inc flu hosp
04,-1,0.01,15.707027586348481,2023-11-11,2023-11-11,quantile,wk inc flu hosp
05,-1,0.01,0.5537424123249483,2023-11-11,2023-11-11,quantile,wk inc flu hosp
06,-1,0.01,22.489384855995294,2023-11-11,2023-11-11,quantile,wk inc flu hosp
08,-1,0.01,10.789980006267927,2023-11-11,2023-11-11,quantile,wk inc flu hosp
09,-1,0.01,0.32475963433337524,2023-11-11,2023-11-11,quantile,wk inc flu hosp
10,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
11,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
12,-1,0.01,326.33463325185596,2023-11-11,2023-11-11,quantile,wk inc flu hosp
13,-1,0.01,15.841941249226775,2023-11-11,2023-11-11,quantile,wk inc flu hosp
15,-1,0.01,2.1974246649120324,2023-11-11,2023-11-11,quantile,wk inc flu hosp
16,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
17,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
18,-1,0.01,16.955146717385414,2023-11-11,2023-11-11,quantile,wk inc flu hosp
19,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
20,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
21,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
22,-1,0.01,19.12687274923002,2023-11-11,2023-11-11,quantile,wk inc flu hosp
23,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
24,-1,0.01,0.13688925027030657,2023-11-11,2023-11-11,quantile,wk inc flu hosp
25,-1,0.01,10.861444487356122,2023-11-11,2023-11-11,quantile,wk inc flu hosp
26,-1,0.01,7.742106419102619,2023-11-11,2023-11-11,quantile,wk inc flu hosp
27,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
28,-1,0.01,13.61624405774622,2023-11-11,2023-11-11,quantile,wk inc flu hosp
29,-1,0.01,1.2938469592375572,2023-11-11,2023-11-11,quantile,wk inc flu hosp
30,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
31,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
32,-1,0.01,0.6623861988366335,2023-11-11,2023-11-11,quantile,wk inc flu hosp
33,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
34,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
35,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
36,-1,0.01,20.340033250716097,2023-11-11,2023-11-11,quantile,wk inc flu hosp
37,-1,0.01,11.575797839797197,2023-11-11,2023-11-11,quantile,wk inc flu hosp
38,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
39,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
40,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
41,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
42,-1,0.01,0.8321821181981703,2023-11-11,2023-11-11,quantile,wk inc flu hosp
44,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
45,-1,0.01,14.953937717220969,2023-11-11,2023-11-11,quantile,wk inc flu hosp
46,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
47,-1,0.01,9.16274535215647,2023-11-11,2023-11-11,quantile,wk inc flu hosp
48,-1,0.01,234.47556972736166,2023-11-11,2023-11-11,quantile,wk inc flu hosp
49,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
50,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
51,-1,0.01,19.906284832663697,2023-11-11,2023-11-11,quantile,wk inc flu hosp
53,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
54,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
55,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
56,-1,0.01,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
72,-1,0.01,76.26327823571752,2023-11-11,2023-11-11,quantile,wk inc flu hosp
US,-1,0.01,1387.833130746141,2023-11-11,2023-11-11,quantile,wk inc flu hosp
01,-1,0.025,14.275811724132993,2023-11-11,2023-11-11,quantile,wk inc flu hosp
02,-1,0.025,14.158612546684052,2023-11-11,2023-11-11,quantile,wk inc flu hosp
04,-1,0.025,20.99878428172657,2023-11-11,2023-11-11,quantile,wk inc flu hosp
05,-1,0.025,2.6363327149418394,2023-11-11,2023-11-11,quantile,wk inc flu hosp
06,-1,0.025,37.32981347372665,2023-11-11,2023-11-11,quantile,wk inc flu hosp
08,-1,0.025,13.304766148427802,2023-11-11,2023-11-11,quantile,wk inc flu hosp
09,-1,0.025,1.6228555391845718,2023-11-11,2023-11-11,quantile,wk inc flu hosp
10,-1,0.025,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
11,-1,0.025,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
12,-1,0.025,349.9346657914194,2023-11-11,2023-11-11,quantile,wk inc flu hosp
13,-1,0.025,19.843222770336514,2023-11-11,2023-11-11,quantile,wk inc flu hosp
15,-1,0.025,3.081081519581184,2023-11-11,2023-11-11,quantile,wk inc flu hosp
16,-1,0.025,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
17,-1,0.025,4.192499480653662,2023-11-11,2023-11-11,quantile,wk inc flu hosp
18,-1,0.025,22.674906879770546,2023-11-11,2023-11-11,quantile,wk inc flu hosp
19,-1,0.025,0.5643126281403413,2023-11-11,2023-11-11,quantile,wk inc flu hosp
20,-1,0.025,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
21,-1,0.025,2.261783200015967,2023-11-11,2023-11-11,quantile,wk inc flu hosp
22,-1,0.025,21.15757249871986,2023-11-11,2023-11-11,quantile,wk inc flu hosp
23,-1,0.025,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
24,-1,0.025,3.405225093958405,2023-11-11,2023-11-11,quantile,wk inc flu hosp
25,-1,0.025,12.720104250226845,2023-11-11,2023-11-11,quantile,wk inc flu hosp
26,-1,0.025,13.88987067555901,2023-11-11,2023-11-11,quantile,wk inc flu hosp
27,-1,0.025,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
28,-1,0.025,17.07354184947367,2023-11-11,2023-11-11,quantile,wk inc flu hosp
29,-1,0.025,7.620885670882364,2023-11-11,2023-11-11,quantile,wk inc flu hosp
30,-1,0.025,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
31,-1,0.025,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
32,-1,0.025,3.1042187210774532,2023-11-11,2023-11-11,quantile,wk inc flu hosp
33,-1,0.025,0.0,2023-11-11,2023-11-11,quantile,wk inc flu hosp
34,-1,0.025,0.4130510323146421,2023-11-11,2023-11-11,quantile,wk inc flu hosp
35,-1,0.025,0.8675710223368746,2023-11-11,2023-11-11,quantile,wk inc flu hosp
36,-1,0.025,26.353070154800978,2023-11-11,2023-11-11,quantile,wk inc flu hosp
