location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,-1,0.01,0.0,2024-04-20,2024-04-20,quantile,wk inc flu hosp
02,-1,0.01,0.5649163916372247,2024-04-20,2024-04-20,quantile,wk inc flu hosp
04,-1,0.01,30.95242789171543,2024-04-20,2024-04-20,quantile,wk inc flu hosp
05,-1,0.01,11.261985134707325,2024-04-20,2024-04-20,quantile,wk inc flu hosp
06,-1,0.01,74.96246324008989,2024-04-20,2024-04-20,quantile,wk inc flu hosp
08,-1,0.01,21.644717458599402,2024-04-20,2024-04-20,quantile,wk inc flu hosp
09,-1,0.01,18.37958779578011,2024-04-20,2024-04-20,quantile,wk inc flu hosp
10,-1,0.01,0.0,2024-04-20,2024-04-20,quantile,wk inc flu hosp
11,-1,0.01,4.603749943950876,2024-04-20,2024-04-20,quantile,wk inc flu hosp
12,-1,0.01,183.05620994317852,2024-04-20,2024-04-20,quantile,wk inc flu hosp
13,-1,0.01,9.693389130418923,2024-04-20,2024-04-20,quantile,wk inc flu hosp
15,-1,0.01,2.101395499693333,2024-04-20,2024-04-20,quantile,wk inc flu hosp
16,-1,0.01,0.0,2024-04-20,2024-04-20,quantile,wk inc flu hosp
17,-1,0.01,90.13559482497013,2024-04-20,2024-04-20,quantile,wk inc flu hosp
18,-1,0.01,27.389045546499297,2024-04-20,2024-04-20,quantile,wk inc flu hosp
19,-1,0.01,18.534883086524374,2024-04-20,2024-04-20,quantile,wk inc flu hosp
20,-1,0.01,2.8122324323014025,2024-04-20,2024-04-20,quantile,wk inc flu hosp
21,-1,0.01,13.516782438519595,2024-04-20,2024-04-20,quantile,wk inc flu hosp
22,-1,0.01,7.082736312597996,2024-04-20,2024-04-20,quantile,wk inc flu hosp
23,-1,0.01,2.332106300168159,2024-04-20,2024-04-20,quantile,wk inc flu hosp
24,-1,0.01,9.62793696395663,2024-04-20,2024-04-20,quantile,wk inc flu hosp
25,-1,0.01,85.35398827908121,2024-04-20,2024-04-20,quantile,wk inc flu hosp
26,-1,0.01,138.70931864879202,2024-04-20,2024-04-20,quantile,wk inc flu hosp
27,-1,0.01,29.59783771107258,2024-04-20,2024-04-20,quantile,wk inc flu hosp
28,-1,0.01,14.274145453494565,2024-04-20,2024-04-20,quantile,wk inc flu hosp
29,-1,0.01,28.365865688809404,2024-04-20,2024-04-20,quantile,wk inc flu hosp
30,-1,0.01,0.0,2024-04-20,2024-04-20,quantile,wk inc flu hosp
31,-1,0.01,13.616965020086543,2024-04-20,2024-04-20,quantile,wk inc flu hosp
32,-1,0.01,3.6422672302234433,2024-04-20,2024-04-20,quantile,wk inc flu hosp
33,-1,0.01,1.668456451230275,2024-04-20,2024-04-20,quantile,wk inc flu hosp
34,-1,0.01,50.06541442874287,2024-04-20,2024-04-20,quantile,wk inc flu hosp
35,-1,0.01,1.183707749711161,2024-04-20,2024-04-20,quantile,wk inc flu hosp
36,-1,0.01,198.55842853911992,2024-04-20,2024-04-20,quantile,wk inc flu hosp
37,-1,0.01,5.855317493094767,2024-04-20,2024-04-20,quantile,wk inc flu hosp
38,-1,0.01,3.852300565647883,2024-04-20,2024-04-20,quantile,wk inc flu hosp
39,-1,0.01,59.38665965469486,2024-04-20,2024-04-20,quantile,wk inc flu hosp
40,-1,0.01,2.7082575929913735,2024-04-20,2024-04-20,quantile,wk inc flu hosp
41,-1,0.01,0.9172261899445124,2024-04-20,2024-04-20,quantile,wk inc flu hosp
42,-1,0.01,76.02659490028154,2024-04-20,2024-04-20,quantile,wk inc flu hosp
44,-1,0.01,3.20486785757805,2024-04-20,2024-04-20,quantile,wk inc flu hosp
45,-1,0.01,23.75028552245207,2024-04-20,2024-04-20,quantile,wk inc flu hosp
46,-1,0.01,2.781373836231913,2024-04-20,2024-04-20,quantile,wk inc flu hosp
47,-1,0.01,16.766934818000266,2024-04-20,2024-04-20,quantile,wk inc flu hosp
48,-1,0.01,159.49628614070815,2024-04-20,2024-04-20,quantile,wk inc flu hosp
49,-1,0.01,0.0,2024-04-20,2024-04-20,quantile,wk inc flu hosp
50,-1,0.01,3.734441235914891,2024-04-20,2024-04-20,quantile,wk inc flu hosp
51,-1,0.01,29.42795530958711,2024-04-20,2024-04-20,quantile,wk inc flu hosp
53,-1,0.01,5.6407119329828,2024-04-20,2024-04-20,quantile,wk inc flu hosp
54,-1,0.01,0.0,2024-04-20,2024-04-20,quantile,wk inc flu hosp
55,-1,0.01,20.06952941136433,2024-04-20,2024-04-20,quantile,wk inc flu hosp
56,-1,0.01,0.0,2024-04-20,2024-04-20,quantile,wk inc flu hosp
72,-1,0.01,18.207282141876057,2024-04-20,2024-04-20,quantile,wk inc flu hosp
US,-1,0.01,2101.779994159824,2024-04-20,2024-04-20,quantile,wk inc flu hosp
01,-1,0.025,0.0,2024-04-20,2024-04-20,quantile,wk inc flu hosp
02,-1,0.025,1.118838784353157,2024-04-20,2024-04-20,quantile,wk inc flu hosp
04,-1,0.025,38.748892910630126,2024-04-20,2024-04-20,quantile,wk inc flu hosp
05,-1,0.025,14.228019055965493,2024-04-20,2024-04-20,quantile,wk inc flu hosp
06,-1,0.025,84.61314017288892,2024-04-20,2024-04-20,quantile,wk inc flu hosp
08,-1,0.025,25.52855159519275,2024-04-20,2024-04-20,quantile,wk inc flu hosp
09,-1,0.025,23.116550506731098,2024-04-20,2024-04-20,quantile,wk inc flu hosp
10,-1,0.025,0.19034787667404315,2024-04-20,2024-04-20,quantile,wk inc flu hosp
11,-1,0.025,5.418689795162307,2024-04-20,2024-04-20,quantile,wk inc flu hosp
12,-1,0.025,200.5788726633282,2024-04-20,2024-04-20,quantile,wk inc flu hosp
13,-1,0.025,16.100333159558094,2024-04-20,2024-04-20,quantile,wk inc flu hosp
15,-1,0.025,3.538398090240859,2024-04-20,2024-04-20,quantile,wk inc flu hosp
16,-1,0.025,0.0,2024-04-20,2024-04-20,quantile,wk inc flu hosp
17,-1,0.025,100.16589741958717,2024-04-20,2024-04-20,quantile,wk inc flu hosp
18,-1,0.025,36.112407683766776,2024-04-20,2024-04-20,quantile,wk inc flu hosp
19,-1,0.025,22.40647180425232,2024-04-20,2024-04-20,quantile,wk inc flu hosp
20,-1,0.025,5.033569587106689,2024-04-20,2024-04-20,quantile,wk inc flu hosp
21,-1,0.025,18.57607590929762,2024-04-20,2024-04-20,quantile,wk inc flu hosp
22,-1,0.025,9.173751431635056,2024-04-20,2024-04-20,quantile,wk inc flu hosp
23,-1,0.025,3.0386763304465885,2024-04-20,2024-04-20,quantile,wk inc flu hosp
24,-1,0.025,15.974248123249646,2024-04-20,2024-04-20,quantile,wk inc flu hosp
